target_pos.x,target_pos.y,target_pos.z,human_pos.x,human_pos.y,human_pos.z,human_rot.x,human_rot.y,human_rot.z,human_height,Reference/Hips/m_LocalRotation.x,Reference/Hips/m_LocalRotation.y,Reference/Hips/m_LocalRotation.z,Reference/Hips/LeftUpLeg/m_LocalRotation.x,Reference/Hips/LeftUpLeg/m_LocalRotation.y,Reference/Hips/LeftUpLeg/m_LocalRotation.z,Reference/Hips/LeftUpLeg/LeftLeg/m_LocalRotation.x,Reference/Hips/LeftUpLeg/LeftLeg/m_LocalRotation.y,Reference/Hips/LeftUpLeg/LeftLeg/m_LocalRotation.z,Reference/Hips/LeftUpLeg/LeftLeg/LeftFoot/m_LocalRotation.x,Reference/Hips/LeftUpLeg/LeftLeg/LeftFoot/m_LocalRotation.y,Reference/Hips/LeftUpLeg/LeftLeg/LeftFoot/m_LocalRotation.z,Reference/Hips/RightUpLeg/m_LocalRotation.x,Reference/Hips/RightUpLeg/m_LocalRotation.y,Reference/Hips/RightUpLeg/m_LocalRotation.z,Reference/Hips/RightUpLeg/RightLeg/m_LocalRotation.x,Reference/Hips/RightUpLeg/RightLeg/m_LocalRotation.y,Reference/Hips/RightUpLeg/RightLeg/m_LocalRotation.z,Reference/Hips/RightUpLeg/RightLeg/RightFoot/m_LocalRotation.x,Reference/Hips/RightUpLeg/RightLeg/RightFoot/m_LocalRotation.y,Reference/Hips/RightUpLeg/RightLeg/RightFoot/m_LocalRotation.z,Reference/Hips/Spine/m_LocalRotation.x,Reference/Hips/Spine/m_LocalRotation.y,Reference/Hips/Spine/m_LocalRotation.z,Reference/Hips/Spine/Chest/LeftShoulder/m_LocalRotation.x,Reference/Hips/Spine/Chest/LeftShoulder/m_LocalRotation.y,Reference/Hips/Spine/Chest/LeftShoulder/m_LocalRotation.z,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/m_LocalRotation.x,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/m_LocalRotation.y,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/m_LocalRotation.z,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/m_LocalRotation.x,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/m_LocalRotation.y,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/m_LocalRotation.z,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/LeftHand/m_LocalRotation.x,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/LeftHand/m_LocalRotation.y,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/LeftHand/m_LocalRotation.z,Reference/Hips/Spine/Chest/Neck/m_LocalRotation.x,Reference/Hips/Spine/Chest/Neck/m_LocalRotation.y,Reference/Hips/Spine/Chest/Neck/m_LocalRotation.z,Reference/Hips/Spine/Chest/RightShoulder/m_LocalRotation.x,Reference/Hips/Spine/Chest/RightShoulder/m_LocalRotation.y,Reference/Hips/Spine/Chest/RightShoulder/m_LocalRotation.z,Reference/Hips/Spine/Chest/RightShoulder/RightArm/m_LocalRotation.x,Reference/Hips/Spine/Chest/RightShoulder/RightArm/m_LocalRotation.y,Reference/Hips/Spine/Chest/RightShoulder/RightArm/m_LocalRotation.z,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/m_LocalRotation.x,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/m_LocalRotation.y,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/m_LocalRotation.z,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/RightHand/m_LocalRotation.x,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/RightHand/m_LocalRotation.y,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/RightHand/m_LocalRotation.z,Reference/Hips/m_LocalPosition.x,Reference/Hips/m_LocalPosition.y,Reference/Hips/m_LocalPosition.z
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.76,0.9810017,0.1216058,0.01594968,0.01397762,0.9802836,0.9687117,0.0604214,0.06123879,0.02831534,0.9781366,0.05779309,0.01832052,0.004711115,0.9761839,0.9841025,0.04400473,0.01821045,0.01211162,0.9948416,0.04169688,0.01032549,0.005182981,0.9997879,0.002718006,0.9971232,0.9958538,0.1152171,0.07105299,0.02298809,0.07441441,0.1101565,0.09880164,0.01376815,0.08089904,0.08412229,0.03225338,0.02693733,0.9965208,0.957516,0.002098769,0.508293,0.115248,0.00469207,0.4290949,0.9764321,0.9505314,0.684238,0.000571259,0.962193,0.908542,0.07627778,0.01289148,0.9779091,-0.03190145
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.88,0.9831461,0.1796588,0.02564237,0.02170439,0.9388312,0.9583731,0.02507995,0.9642053,0.003607791,0.9843716,0.003024852,0.04066914,0.008742139,0.9826936,0.9826287,0.01537695,0.04706401,0.007326141,0.000276098,0.06534047,0.002604634,0.002646137,0.000944163,0.005886092,0.000446072,0.9781512,0.1152324,0.04583693,0.02222002,0.05985995,0.004209714,0.07258429,0.9988761,0.9968669,0.03220319,0.0408445,0.03720124,0.9888703,0.9026657,0.000237162,0.5182078,0.1152536,0.01359505,0.3154795,0.9860431,0.9310496,0.8550546,0.9794301,0.9499203,0.8878613,0.06749465,0.01016862,0.9793419,-0.04487635
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.72,0.9981717,0.06594694,0.02236295,0.9988971,0.9644023,0.9778794,0.03243557,0.04178783,0.01792215,0.9974634,0.06335805,0.9925742,0.9908082,0.9913041,0.9867843,0.03949795,0.02064783,0.007186925,0.00217528,0.03033874,0.9964023,0.005726503,0.9992584,0.003219968,0.000540099,0.9776499,0.1152275,0.05008778,0.04356868,0.08586092,0.07387349,0.04617791,0.000353934,0.06352106,0.02729341,0.01416135,0.01539872,0.9950092,0.9398918,0.9996657,0.5216539,0.1045723,0.9717543,0.403649,0.9808502,0.9460545,0.7219365,0.03343545,0.9658493,0.8916755,0.08540403,0.005611872,0.9797041,-0.04294256
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.78,0.9861215,0.07366022,0.01024342,0.01339622,0.993356,0.9914822,0.01099265,0.03115167,0.004405639,0.000316192,0.02816903,0.99704,0.002248595,0.99647,0.9921961,0.01008366,0.02452941,0.001422406,0.001170813,0.03192672,0.9980273,0.006799942,0.9999341,0.001307941,0.9971266,0.995836,0.1152173,0.04559771,0.9855803,0.08675941,0.05540508,0.09488086,0.9852346,0.05567366,0.09368914,0.04823647,0.02596222,0.9952655,0.9378399,0.002462175,0.5063561,0.1152333,0.9831535,0.3898853,0.01361968,0.9366381,0.740503,0.02490384,0.9630938,0.8834952,0.07966084,-0.00381869,0.9771448,-0.0340661
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.66,0.9751016,0.1855412,0.01476384,0.01810796,0.9365066,0.9627211,0.02851595,0.08245352,0.03664683,0.9830908,0.1248582,0.9978927,0.006521327,0.9677712,0.9776921,0.02828589,0.05888445,0.01971301,0.9914366,0.08915175,0.004964664,0.001686136,0.9991114,0.00705383,0.000989324,0.9752532,0.1151998,0.0546886,0.014713,0.06397241,0.08748826,0.0789351,0.001540519,0.07159285,0.08648792,0.02952486,0.04932204,0.9898705,0.9249914,1.14E-05,0.5194106,0.1152464,0.02694012,0.3726406,0.03565568,0.9520934,0.7656294,0.9795359,0.9819761,0.8951932,0.09091292,0.01384764,0.9765736,-0.03642327
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.7,0.9808159,0.1192787,0.01982841,0.02789006,0.9742162,0.9600027,0.01669499,0.0576717,0.01033342,0.9819103,0.06014024,0.01493733,0.01024013,0.9929411,0.9979036,0.01086408,0.03375006,0.003203433,0.01090865,0.0464107,0.9894778,0.004889352,3.26E-06,0.004143402,0.9994491,0.9834625,0.1152667,0.08351421,0.9878841,0.9681388,0.05185861,0.2265791,0.06020146,0.02144035,0.07468384,0.06265301,0.0314868,0.9928627,0.9178979,0.000252229,0.5181276,0.115254,0.01356123,0.4159179,0.9063537,0.9512159,0.6630124,0.9873127,0.9779919,0.8870105,0.08213156,0.01790876,0.9785835,-0.03418202
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.61,0.985775,0.1378447,0.01592516,0.01616964,0.954702,0.9768073,0.04201375,0.07420475,0.03782475,0.9938103,0.1012578,0.9955062,0.9734116,0.9474941,0.9761068,0.08647842,0.01453777,0.03525744,0.004626543,0.05518047,0.03105354,0.003832328,0.9992117,0.006260827,0.9952497,0.005876999,0.1150448,0.06745587,0.07284404,0.08364722,0.1071071,0.05601124,0.01164724,0.06717202,0.05315234,0.02327,0.01465841,0.9980196,0.932228,0.003275525,0.5012385,0.112717,0.006273864,0.3029899,0.0361976,0.08649379,0.6966859,0.000763536,0.06202828,0.07439864,0.03993715,0.00442272,0.9709064,-0.04218661
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.6,0.9934556,0.09674373,0.02338532,0.01506985,0.9729263,0.9838879,0.02631357,0.04574684,0.01431312,0.000102344,0.06007843,0.9940848,0.9911206,0.004197835,0.9918355,0.05426349,0.02380572,0.006768713,0.9991596,0.02183842,0.000556957,0.005135974,0.9996663,0.003810155,0.9981199,0.9905413,0.1152606,0.05806781,0.04998574,0.08055598,0.002380084,0.3067084,0.01944489,0.9911134,0.1035858,0.04166571,0.9904802,0.001680706,0.9754388,0.0013803,0.5121201,0.1152639,0.001089417,0.3666986,0.07713123,0.9272493,0.7876426,0.01789992,0.9679609,0.8848233,0.0945797,-0.000210163,0.9689015,-0.03703147
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.83,0.9958928,0.08311343,0.02420794,0.9909007,0.9745293,0.9670804,0.09803604,0.07542374,0.0572017,0.9919553,0.06945951,0.9866099,0.9918703,0.9874284,0.9916124,0.06551927,0.0319517,0.01944559,0.004048228,0.04340399,0.9926455,0.005958595,0.9992126,0.003627375,0.998274,0.9897206,0.1152643,0.04058705,0.03005514,0.08234546,0.03094083,0.05502108,0.996075,0.03185358,0.04233902,0.01896338,0.000586821,0.9991955,0.9096902,0.001433152,0.5118386,0.1152633,0.9675216,0.4735237,0.02093142,0.9584327,0.6962671,0.04296986,0.9582243,0.9106132,0.08012225,0.007399268,0.9753813,-0.03439945
-4,1.8,1.5,0,0,1.25,0,0.5,0,1.74,0.9877936,0.07806139,0.02704435,0.007596869,0.9758559,0.9599784,0.05170928,0.04994423,0.02154706,0.9908865,0.05182363,0.009765852,0.9979794,0.009505193,0.9990373,0.04227769,0.0135391,0.001126716,0.005910564,0.009265914,0.9876919,0.00579131,0.9996406,0.002967952,0.001776149,0.9710488,0.1151348,0.09588598,0.01839928,0.06967835,0.005047059,0.1246462,0.03197383,0.9703389,0.002604127,0.01917212,0.02887488,0.9917037,0.9248317,0.9985176,0.5273808,0.1151556,0.9781912,0.4436521,0.001975999,0.9674393,0.6614417,0.02292717,0.9545614,0.9233505,0.06628624,0.0136828,0.9776862,-0.03052859
